[7/23/22 04:14PM]	Login from host 213.127.103.88, serial number: null	
[7/23/22 04:20PM]	Player dropping item: 19864, amount: 12	
[7/23/22 04:21PM]	Player dropping item: 19137, amount: 1	
[7/23/22 04:21PM]	Player dropping item: 18940, amount: 1	
[7/23/22 04:21PM]	Player dropping item: 19137, amount: 1	
[7/23/22 04:21PM]	Player dropping item: 18940, amount: 1	
[7/23/22 04:21PM]	Player dropping item: 18942, amount: 1	
[7/23/22 04:21PM]	Player dropping item: 18942, amount: 1	
[7/23/22 04:21PM]	Player dropping item: 19138, amount: 1	
[7/23/22 04:21PM]	Player dropping item: 18942, amount: 1	
[7/23/22 04:21PM]	Player dropping item: 19080, amount: 845	
[7/23/22 04:21PM]	Player dropping item: 18942, amount: 1	
[7/23/22 04:21PM]	Player dropping item: 18942, amount: 1	
[7/23/22 04:21PM]	Player dropping item: 18942, amount: 1	
[7/23/22 04:21PM]	Player dropping item: 19138, amount: 1	
[7/23/22 04:21PM]	Player dropping item: 10835, amount: 5268	
[7/23/22 04:21PM]	Player dropping item: 19137, amount: 1	
[7/23/22 04:21PM]	Player dropping item: 18940, amount: 1	
[7/23/22 04:21PM]	Player dropping item: 18940, amount: 1	
[7/23/22 04:21PM]	Player dropping item: 19138, amount: 1	
[7/23/22 04:22PM]	Player dropping item: 19139, amount: 1	
[7/23/22 04:22PM]	Player dropping item: 18942, amount: 1	
[7/23/22 04:22PM]	Player dropping item: 19138, amount: 1	
[7/23/22 04:22PM]	Player dropping item: 19138, amount: 1	
[7/23/22 04:22PM]	Player dropping item: 18942, amount: 1	
[7/23/22 04:22PM]	Player dropping item: 18941, amount: 1	
[7/23/22 04:22PM]	Player dropping item: 19138, amount: 1	
[7/23/22 04:22PM]	Player dropping item: 19138, amount: 1	
[7/23/22 04:22PM]	Player dropping item: 19137, amount: 1	
[7/23/22 04:22PM]	Player dropping item: 3956, amount: 1	
[7/23/22 04:22PM]	Player dropping item: 4771, amount: 1	
[7/23/22 04:22PM]	Player dropping item: 18942, amount: 1	
[7/23/22 04:22PM]	Player dropping item: 18941, amount: 1	
[7/23/22 04:22PM]	Player dropping item: 19138, amount: 1	
[7/23/22 04:22PM]	Player dropping item: 18942, amount: 1	
[7/23/22 04:22PM]	Player dropping item: 18942, amount: 1	
[7/23/22 04:23PM]	Player dropping item: 19139, amount: 1	
[7/23/22 04:23PM]	Player dropping item: 19139, amount: 1	
[7/23/22 04:23PM]	Player dropping item: 18941, amount: 1	
[7/23/22 04:23PM]	Player dropping item: 19138, amount: 1	
[7/23/22 04:23PM]	Player dropping item: 19137, amount: 1	
[7/23/22 04:23PM]	Player dropping item: 18941, amount: 1	
[7/23/22 04:23PM]	Player dropping item: 18941, amount: 1	
[7/23/22 04:23PM]	Player dropping item: 18942, amount: 1	
[7/23/22 04:23PM]	Player dropping item: 19137, amount: 1	
[7/23/22 04:23PM]	Player dropping item: 18940, amount: 1	
[7/23/22 04:24PM]	Player dropping item: 774, amount: 1	
